cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,int_flux_mJy,major_axis_arcsec,minor_axis_arcsec,rms_mJy_beam,sidelobe_prob,is_extended
147,RXC J0034.6-0208,8.65,-2.14,1,8.641054166666665,-2.1726361111111108,2.030297855321873,1.03,6.3,14.949999809265137,11.699999809265137,,,True
147,RXC J0034.6-0208,8.65,-2.14,2,8.636604166666666,-2.0929361111111113,2.935841893868676,1.0,4.17,11.380000114440918,9.550000190734863,,,True
147,RXC J0034.6-0208,8.65,-2.14,3,8.5948,-2.104416666666667,3.938594469496117,2.72,3.48,4.239999771118164,0.75,,,False
147,RXC J0034.6-0208,8.65,-2.14,4,8.649325,-2.0680083333333337,4.31968960562167,1.0,2.0,6.380000114440918,5.150000095367432,,,True
147,RXC J0034.6-0208,8.65,-2.14,5,8.693595833333331,-2.2096583333333335,4.92955515267948,1.35,2.26,7.909999847412109,0.0,,,True
147,RXC J0034.6-0208,8.65,-2.14,6,8.697583333333332,-2.208311111111111,4.993832330851718,1.46,3.43,9.489999771118164,3.869999885559082,,,True
150,RXC J0034.2-0204,8.56,-2.08,1,8.558658333333332,-2.0810250000000003,0.10126183508497699,1.57,22.5,25.280000686645508,18.09000015258789,,,True
150,RXC J0034.2-0204,8.56,-2.08,2,8.559849999999999,-2.084202777777778,0.2523270117513652,9.07,31.14,13.369999885559082,5.170000076293945,,,True
150,RXC J0034.2-0204,8.56,-2.08,3,8.562391666666667,-2.0836,0.2592702769372084,13.02,20.74,7.409999847412109,1.2200000286102295,,,True
150,RXC J0034.2-0204,8.56,-2.08,4,8.5948,-2.104416666666667,2.5495407780630712,2.72,3.48,4.239999771118164,0.75,,,False
150,RXC J0034.2-0204,8.56,-2.08,5,8.636604166666666,-2.0929361111111113,4.658320123686826,1.0,4.17,11.380000114440918,9.550000190734863,,,True
167,A2063,230.77,8.6,1,230.77198749999997,8.609183333333332,0.5634742602449563,3.76,13.11,16.6299991607666,2.1600000858306885,,,True
167,A2063,230.77,8.6,2,230.7554708333333,8.572822222222221,1.844473372302158,4.9,12.26,10.010000228881836,3.4700000286102295,,,True
167,A2063,230.77,8.6,3,230.7573833333333,8.568008333333333,2.060282178561014,4.99,13.16,9.800000190734863,4.25,,,True
167,A2063,230.77,8.6,4,230.73674583333332,8.581269444444445,2.270505952493033,1.41,3.25,8.140000343322754,4.210000038146973,,,True
167,A2063,230.77,8.6,5,230.7891708333333,8.647397222222223,3.062795443247923,7.05,10.55,4.269999980926514,3.319999933242798,,,False
167,A2063,230.77,8.6,6,230.7938458333333,8.671116666666666,4.495351404107158,2.3,2.14,0.0,0.0,,,False
170,RX J0820.9+0751,125.26,7.87,1,125.25920833333332,7.86355,0.3898499489340431,2.26,2.06,0.0,0.0,,,False
170,RX J0820.9+0751,125.26,7.87,2,125.26377083333331,7.863052777777777,0.47326546825536026,1.14,1.02,2.759999990463257,0.0,,,False
170,RX J0820.9+0751,125.26,7.87,3,125.25264999999997,7.857969444444444,0.8437319662659585,5.37,7.93,6.730000019073486,0.0,,,True
170,RX J0820.9+0751,125.26,7.87,4,125.24740416666666,7.856444444444444,1.1054315987917653,11.72,62.44,19.860000610351562,5.269999980926514,,,True
170,RX J0820.9+0751,125.26,7.87,5,125.23740416666666,7.855469444444444,1.601172510526741,1.08,3.57,13.020000457763672,4.170000076293945,,,True
170,RX J0820.9+0751,125.26,7.87,6,125.26445416666664,7.823813888888889,2.7837844691250817,1.02,0.74,1.7999999523162842,0.0,,,False
171,A2415,331.42,-5.59,1,331.4109666666666,-5.592474999999999,0.5594887171691038,118.89,129.74,2.0399999618530273,1.4600000381469727,,,False
171,A2415,331.42,-5.59,2,331.4156708333333,-5.579549999999999,0.6782035546593496,1.34,1.04,2.869999885559082,0.0,,,False
171,A2415,331.42,-5.59,3,331.4084916666666,-5.593019444444444,0.7106934118977012,5.98,27.35,15.960000038146973,7.190000057220459,,,True
171,A2415,331.42,-5.59,4,331.4066791666666,-5.5870194444444445,0.81530598691714,1.29,0.91,2.880000114440918,0.0,,,False
171,A2415,331.42,-5.59,5,331.41754999999995,-5.604283333333333,0.8693977451074861,1.66,1.26,3.799999952316284,0.0,,,False
171,A2415,331.42,-5.59,6,331.4045291666666,-5.581258333333333,1.062348934301533,1.2,0.81,2.450000047683716,0.0,,,False
171,A2415,331.42,-5.59,7,331.4403958333333,-5.595969444444444,1.2694969781961813,2.16,2.19,2.059999942779541,0.0,,,False
171,A2415,331.42,-5.59,8,331.40419999999995,-5.607144444444444,1.395817185223529,1.26,1.71,8.529999732971191,0.0,,,True
171,A2415,331.42,-5.59,9,331.4426791666666,-5.5961,1.402857104722736,3.9,4.21,2.8399999141693115,0.0,,,False
171,A2415,331.42,-5.59,10,331.4007916666666,-5.572222222222222,1.5663558700476035,1.06,3.17,9.300000190734863,7.130000114440918,,,True
171,A2415,331.42,-5.59,11,331.3940041666666,-5.594472222222222,1.5753477349780702,1.07,1.19,5.050000190734863,0.0,,,False
171,A2415,331.42,-5.59,12,331.3981666666666,-5.6122805555555555,1.86731766862428,3.58,3.89,2.859999895095825,0.0,,,False
171,A2415,331.42,-5.59,13,331.3854208333333,-5.549975,3.167212707767615,2.46,2.92,3.9700000286102295,0.6700000166893005,,,False
171,A2415,331.42,-5.59,14,331.3966958333333,-5.540197222222222,3.296339827332099,1.06,0.92,2.6500000953674316,0.0,,,False
171,A2415,331.42,-5.59,15,331.46478333333323,-5.6268166666666675,3.4685288228918894,1.25,1.96,6.150000095367432,2.619999885559082,,,True
171,A2415,331.42,-5.59,16,331.3977916666666,-5.535952777777777,3.503546584774572,1.24,1.78,6.380000114440918,0.9599999785423279,,,True
171,A2415,331.42,-5.59,17,331.43213749999995,-5.670997222222223,4.913575360294329,2.36,1.66,0.0,0.0,,,False
171,A2415,331.42,-5.59,18,331.47871666666657,-5.531225,4.973046732383659,1.06,0.8,0.0,0.0,,,False
174,A1023,157.0,-6.8,1,156.99447916666662,-6.798808333333334,0.3366017963237655,11.65,12.5,1.9500000476837158,1.059999942779541,,,False
174,A1023,157.0,-6.8,2,156.9962708333333,-6.841177777777777,2.4806353477308964,7.29,8.44,3.0299999713897705,1.4700000286102295,,,False
174,A1023,157.0,-6.8,3,156.9999708333333,-6.844102777777778,2.646167237168733,5.84,7.82,4.110000133514404,2.7300000190734863,,,False
176,A1205,168.34,2.53,1,168.32034166666665,2.500941666666667,2.1043603831416746,71.45,73.06,1.0299999713897705,0.6000000238418579,,,False
189,A1809,208.25,5.16,1,208.31395833333332,5.17035,3.872039650052605,1.85,1.73,0.0,0.0,,,False
195,RXC J2125.2-0657,321.3,-6.97,1,321.3596416666667,-6.98585,3.677099868995607,19.51,19.09,0.0,0.0,,,False
195,RXC J2125.2-0657,321.3,-6.97,2,321.36466666666666,-6.980372222222222,3.9012412448447416,2.61,3.38,4.949999809265137,0.0,,,False
